system:time_start,Uttaranchal
"Jan 1, 2006",0.178
"Jan 2, 2006",0.06
"Jan 3, 2006",0.082
"Jan 4, 2006",0.323
"Jan 5, 2006",0.333
"Jan 6, 2006",0.198
"Jan 7, 2006",0.421
"Jan 8, 2006",0.38
"Jan 9, 2006",0.342
"Jan 10, 2006",0.026
"Jan 11, 2006",0.426
"Jan 12, 2006",0.422
"Jan 13, 2006",0.263
"Jan 14, 2006",0.428
"Jan 15, 2006",0.008
"Jan 16, 2006",0.006
"Jan 17, 2006",0.026
"Jan 18, 2006",0.16
"Jan 19, 2006",0.274
"Jan 20, 2006",0.348
"Jan 21, 2006",0.398
"Jan 22, 2006",0.079
"Jan 23, 2006",0.41
"Jan 24, 2006",0.408
"Jan 25, 2006",0.403
"Jan 26, 2006",0.399
"Jan 27, 2006",0.402
"Jan 28, 2006",0.254
"Jan 29, 2006",0.395
"Jan 30, 2006",0.359
"Jan 31, 2006",0.269
"Feb 1, 2006",0.174
"Feb 2, 2006",0.33
"Feb 3, 2006",0.39
"Feb 4, 2006",0.392
"Feb 5, 2006",0.373
"Feb 6, 2006",0.391
"Feb 7, 2006",0.245
"Feb 8, 2006",0.214
"Feb 9, 2006",0.325
"Feb 10, 2006",0.401
"Feb 11, 2006",0.388
"Feb 12, 2006",0.305
"Feb 13, 2006",0.298
"Feb 14, 2006",0.151
"Feb 15, 2006",0.109
"Feb 16, 2006",0.349
"Feb 17, 2006",0.399
"Feb 18, 2006",0.259
"Feb 19, 2006",0.285
"Feb 20, 2006",0.192
"Feb 21, 2006",0.384
"Feb 22, 2006",0.387
"Feb 23, 2006",0.403
"Feb 24, 2006",0.4
"Feb 25, 2006",0.374
"Feb 26, 2006",0.14
"Feb 27, 2006",0.391
"Feb 28, 2006",0.416
"Mar 1, 2006",0.389
"Mar 2, 2006",0.381
"Mar 3, 2006",0.391
"Mar 4, 2006",0.105
"Mar 5, 2006",0.383
"Mar 6, 2006",0.363
"Mar 7, 2006",0.249
"Mar 8, 2006",0.371
"Mar 9, 2006",0.125
"Mar 10, 2006",0.033
"Mar 11, 2006",0.053
"Mar 12, 2006",0.199
"Mar 13, 2006",0.173
"Mar 14, 2006",0.212
"Mar 15, 2006",0.213
"Mar 16, 2006",0.32
"Mar 17, 2006",0.38
"Mar 18, 2006",0.292
"Mar 19, 2006",0.348
"Mar 20, 2006",0.129
"Mar 21, 2006",0.311
"Mar 22, 2006",0.37
"Mar 23, 2006",0.372
"Mar 24, 2006",0.22
"Mar 25, 2006",0.167
"Mar 26, 2006",0.063
"Mar 27, 2006",0.364
"Mar 28, 2006",0.234
"Mar 29, 2006",0.382
"Mar 30, 2006",0.38
"Mar 31, 2006",0.14
"Apr 1, 2006",0.314
"Apr 2, 2006",0.293
"Apr 3, 2006",0.215
"Apr 4, 2006",0.319
"Apr 5, 2006",0.345
"Apr 6, 2006",0.375
"Apr 7, 2006",0.36
"Apr 8, 2006",0.33
"Apr 9, 2006",0.112
"Apr 10, 2006",0.086
"Apr 11, 2006",0.32
"Apr 12, 2006",0.305
"Apr 13, 2006",0.358
"Apr 14, 2006",0.353
"Apr 15, 2006",0.334
"Apr 16, 2006",0.128
"Apr 17, 2006",0.059
"Apr 18, 2006",0.07
"Apr 19, 2006",0.181
"Apr 20, 2006",0.304
"Apr 21, 2006",0.127
"Apr 22, 2006",0.319
"Apr 23, 2006",0.303
"Apr 24, 2006",0.359
"Apr 25, 2006",0.322
"Apr 26, 2006",0.316
"Apr 27, 2006",0.346
"Apr 28, 2006",0.352
"Apr 29, 2006",0.349
"Apr 30, 2006",0.31
"May 1, 2006",0.366
"May 2, 2006",0.313
"May 3, 2006",0.238
"May 4, 2006",0.353
"May 5, 2006",0.331
"May 6, 2006",0.347
"May 7, 2006",0.269
"May 8, 2006",0.253
"May 9, 2006",0.314
"May 10, 2006",0.283
"May 11, 2006",0.302
"May 12, 2006",0.177
"May 13, 2006",0.383
"May 14, 2006",0.304
"May 15, 2006",0.36
"May 16, 2006",0.162
"May 17, 2006",0.006
"May 18, 2006",0.338
"May 19, 2006",0.15
"May 20, 2006",0.24
"May 21, 2006",0.194
"May 22, 2006",0.043
"May 23, 2006",0.182
"May 24, 2006",0.214
"May 25, 2006",0.313
