date,ndvi
1993-08-01,0.472
1993-08-16,0.575
1993-09-01,0.519
1993-09-16,0.62
1993-10-01,0.638
1993-10-16,0.616
1993-11-01,0.459
1993-11-16,0.496
1993-12-01,0.5
1993-12-16,0.46
1994-01-01,0.418
1994-01-16,0.408
1994-02-01,0.437
1994-02-16,0.486
1994-03-01,0.46
1994-03-16,0.434
1994-04-01,0.476
1994-04-16,0.452
1994-05-01,0.479
1994-05-16,0.437
1994-06-01,0.455
1994-06-16,0.462
1994-07-01,0.533
1994-07-16,0.459
1994-08-01,0.464
1994-08-16,0.526
1994-09-01,0.571
1994-09-16,0.707
1994-10-01,0.717
1994-10-16,0.68
1994-11-01,0.628
1994-11-16,0.581
1994-12-01,0.553
1994-12-16,0.523
1995-01-01,0.497
1995-01-16,0.506
1995-02-01,0.47
1995-02-16,0.479
1995-03-01,0.51
1995-03-16,0.469
1995-04-01,0.491
1995-04-16,0.482
1995-05-01,0.416
1995-05-16,0.485
1995-06-01,0.455
1995-06-16,0.51
1995-07-01,0.503
1995-07-16,0.551
1995-08-01,0.483
1995-08-16,0.583
1995-09-01,0.598
1995-09-16,0.656
1995-10-01,0.664
1995-10-16,0.642
1995-11-01,0.635
1995-11-16,0.595
1995-12-01,0.536
1995-12-16,0.521
1996-01-01,0.497
1996-01-16,0.529
1996-02-01,0.555
1996-02-16,0.556
1996-03-01,0.534
1996-03-16,0.508
1996-04-01,0.504
1996-04-16,0.464
1996-05-01,0.523
1996-05-16,0.489
1996-06-01,0.488
1996-06-16,0.525
1996-07-01,0.559
1996-07-16,0.61
1996-08-01,0.536
1996-08-16,0.559
1996-09-01,0.569
1996-09-16,0.672
1996-10-01,0.689
1996-10-16,0.655
1996-11-01,0.636
1996-11-16,0.593
1996-12-01,0.59
1996-12-16,0.556
1997-01-01,0.508
1997-01-16,0.497
1997-02-01,0.504
1997-02-16,0.491
1997-03-01,0.488
1997-03-16,0.473
1997-04-01,0.409
1997-04-16,0.456
1997-05-01,0.521
1997-05-16,0.517
1997-06-01,0.498
1997-06-16,0.509
1997-07-01,0.465
1997-07-16,0.597
1997-08-01,0.588
1997-08-16,0.627
1997-09-01,0.561
1997-09-16,0.467
1997-10-01,0.627
1997-10-16,0.607
1997-11-01,0.608
1997-11-16,0.503
1997-12-01,0.516
1997-12-16,0.53
1998-01-01,0.484
1998-01-16,0.531
1998-02-01,0.506
1998-02-16,0.493
1998-03-01,0.514
1998-03-16,0.476
1998-04-01,0.507
1998-04-16,0.521
1998-05-01,0.546
1998-05-16,0.602
1998-06-01,0.554
1998-06-16,0.536
1998-07-01,0.523
1998-07-16,0.548
1998-08-01,0.455
1998-08-16,0.603
1998-09-01,0.624
1998-09-16,0.623
1998-10-01,0.658
1998-10-16,0.639
1998-11-01,0.623
1998-11-16,0.596
1998-12-01,0.558
1998-12-16,0.506
1999-01-01,0.5
1999-01-16,0.494
1999-02-01,0.503
1999-02-16,0.417
1999-03-01,0.492
1999-03-16,0.435
1999-04-01,0.413
1999-04-16,0.343
1999-05-01,0.397
1999-05-16,0.46
1999-06-01,0.464
1999-06-16,0.494
1999-07-01,0.493
1999-07-16,0.464
1999-08-01,0.607
1999-08-16,0.589
1999-09-01,0.505
1999-09-16,0.565
1999-10-01,0.657
1999-10-16,0.599
1999-11-01,0.582
1999-11-16,0.569
1999-12-01,0.53
1999-12-16,0.482
2000-01-01,0.459
2000-01-16,0.498
2000-02-01,0.421
2000-02-16,0.468
2000-03-01,0.444
2000-03-16,0.475
2000-04-01,0.474
2000-04-16,0.475
2000-05-01,0.43
2000-05-16,0.457
2000-06-01,0.551
2000-06-16,0.47
2000-07-01,0.486
2000-07-16,0.425
2000-08-01,0.552
2000-08-16,0.476
2000-09-01,0.569
2000-09-16,0.571
2000-10-01,0.58
2000-10-16,0.563
2000-11-01,0.572
2000-11-16,0.546
2000-12-01,0.551
2000-12-16,0.547
2001-01-01,0.515
2001-01-16,0.537
2001-02-01,0.525
2001-02-16,0.453
2001-03-01,0.471
2001-03-16,0.49
2001-04-01,0.422
2001-04-16,0.464
2001-05-01,0.467
2001-05-16,0.479
2001-06-01,0.522
2001-06-16,0.548
2001-07-01,0.535
2001-07-16,0.547
2001-08-01,0.589
2001-08-16,0.603
2001-09-01,0.632
2001-09-16,0.633
2001-10-01,0.641
2001-10-16,0.543
2001-11-01,0.601
2001-11-16,0.551
2001-12-01,0.5
2001-12-16,0.515
2002-01-01,0.477
2002-01-16,0.479
2002-02-01,0.528
2002-02-16,0.447
2002-03-01,0.52
2002-03-16,0.43
2002-04-01,0.423
2002-04-16,0.497
2002-05-01,0.486
2002-05-16,0.468
2002-06-01,0.526
2002-06-16,0.508
2002-07-01,0.5
2002-07-16,0.535
2002-08-01,0.533
2002-08-16,0.526
2002-09-01,0.572
2002-09-16,0.647
2002-10-01,0.651
2002-10-16,0.62
2002-11-01,0.596
2002-11-16,0.564
2002-12-01,0.555
2002-12-16,0.555
2003-01-01,0.535
2003-01-16,0.484
2003-02-01,0.524
2003-02-16,0.492
2003-03-01,0.43
2003-03-16,0.488
2003-04-01,0.476
2003-04-16,0.463
2003-05-01,0.478
2003-05-16,0.483
2003-06-01,0.39
2003-06-16,0.424
2003-07-01,0.515
2003-07-16,0.535
2003-08-01,0.48
2003-08-16,0.523
